Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,label
57.71875,-6.2339699999999985,-26.29081,-1.97099,0.08371,0.97658,0.19703,2
73.66405999999998,-26.34525,-28.399340000000002,-3.4062,0.15680999999999998,0.54943,0.19316,1
31.55469,3.87324,10.29233,29.81378,-0.04542,1.16901,0.51564,2
31.265629999999998,-9.36239,20.02675,-28.820009999999996,0.51547,1.34638,0.3573,1
55.22656,0.50417,-24.74454,-14.607879999999998,0.36391,1.4124700000000001,-0.05815,1
54.29688,5.0421,16.86395,4.39997,0.37415,0.95714,0.20671,2
165.97656,0.26352,0.17135,-0.7108,0.19872,0.9275,0.32147,1
16.42969,0.12600999999999998,-29.207620000000002,11.89109,0.16558,0.78608,0.45657,0
3.20313,0.16039,-0.0395,-0.60578,0.19141,0.90466,0.37861,1
107.70313,21.19988,15.35283,12.6262,0.22162,0.8555799999999999,0.39701,2
139.67188000000002,17.31514,-20.457179999999997,-31.06035,0.048139999999999995,0.87744,0.40911,0
114.00781,10.78327,-13.85043,17.59695,0.06812,0.8332200000000001,0.30646,0
152.24219,-1.11161,-3.83487,-0.64079,0.20749,0.9377,0.2992,2
30.86719,-7.8841199999999985,-13.393579999999998,-20.27873,0.28692,1.2380200000000001,0.2260800000000001,0
49.89844,34.95118,26.633509999999998,-31.20037,0.1724,1.1456899999999999,0.5442100000000001,1
24.59375,-4.7900800000000014,-18.38379,-10.19722,0.17825,1.17339,0.055639999999999995,0
28.36719,-15.447339999999999,8.00808,-0.85082,0.043269999999999996,0.61017,0.05031,1
89.75,14.46174,15.2474,-28.29493,0.11198,0.90709,0.46383,2
136.24219,-11.70011,-28.39934,-1.06085,0.09005,0.97609,0.21156,2
149.51563000000004,1.0542200000000002,-14.51813,-4.59638,0.21967,0.92993,0.37958,2
131.0,-11.39071,-35.533229999999996,-16.88322,0.19872,1.19963,-5e-05,0
61.03125,15.905629999999999,-6.22455,-46.812709999999996,0.46625,0.92604,0.5292,0
71.82030999999998,-19.81338,9.378630000000001,10.91095,0.21285,0.64953,0.24109,0
138.33594,-2.3836,-12.198739999999999,-7.71185,0.20992,0.88182,0.32195999999999997,0
149.0,-1.14599,7.410660000000001,10.000810000000001,0.14804,0.9736600000000001,0.40281999999999996,0
17.58594,-0.32091,-5.55685,-43.10216,0.43214,1.0144799999999998,0.46335,2
19.46094,-28.85486,12.04945,-6.87172,0.14073,0.91972,0.18541,2
101.88280999999999,-7.299689999999999,13.42,-29.62513,0.514,0.97998,0.46916,0
57.34375,6.72663,-12.12846,9.16068,0.13585,0.94548,0.38006,2
72.28905999999998,8.78933,0.94448,-41.14186,0.12416,0.79969,0.56116,2
15.289060000000001,1.98243,-11.4959,-2.35604,0.22405999999999998,1.325,0.32147,1
3.41406,1.43238,0.10107,0.23435,0.20895,0.88133,0.45754,2
158.70313000000004,1.36363,0.45248999999999995,-0.4657600000000001,0.19530999999999998,0.9211799999999999,0.33842,1
51.32813,-11.01255,4.21272,21.51754,0.04522,0.8789,0.15392999999999998,2
152.07813000000004,-1.2835,-11.53104,-4.21132,0.22065,0.92944,0.28564,2
109.98438,20.47794,-35.63865999999999,26.838340000000002,0.24404,0.97949,0.51952,0
133.99219,-36.34932,2.80702,-11.87747,0.25183,0.85606,0.12682000000000002,2
71.78905999999998,13.05223,-32.96784,-27.94488,0.12465,0.92118,0.39265,2
47.58594,19.68724,-5.02971,3.13978,0.15095999999999998,0.85849,0.39071,2
34.82031,8.583060000000001,4.353280000000002,-19.78866,0.24256999999999998,1.03538,0.52436,0
71.92188,8.06739,8.1838,-10.0572,0.23624,1.1894200000000001,0.02368,0
11.195310000000001,9.44252,-24.39312,30.40887,0.23721,0.74624,0.49578999999999995,0
36.04688,5.69529,-16.13468,10.10583,0.15388,0.5989899999999999,0.44882,2
125.45313,19.5841,45.04807,-34.7359,0.35904,0.8769600000000001,0.44446,1
64.375,-8.15915,28.63662,19.83729,0.05496,0.67432,0.046919999999999996,1
20.32813,-26.414,-36.97407000000001,-19.33359,0.19482,1.13986,0.152,2
159.21094,1.7074099999999999,-0.32064000000000004,-0.50076,0.20554,0.9304100000000001,0.33939,1
159.5625,-0.8022,-0.10979000000000001,-0.29073000000000004,0.19969,0.92264,0.336,1
136.94531,9.02998,-24.74454,21.02746,-0.11852,0.8337100000000001,0.57762,1
110.94531,3.66697,-33.95183,-21.74895,0.24696,0.8857,0.29387,2
131.83594,-8.98423,-11.88246,9.86079,0.13878,0.8934799999999999,0.2164,2
3.7421900000000003,0.46979,1.15533,-0.25573,0.19823,0.91632,0.37474,1
45.0625,-4.7900800000000014,37.98447,13.18629,0.11198,0.77005,0.2193,0
67.01563,-1.55853,-34.02211,-30.290229999999998,0.24452,0.72923,0.1917,1
163.92188000000004,0.7792,0.41735,-0.29073000000000004,0.20554,0.9323600000000001,0.3268,1
145.79688000000004,-9.80931,-9.1765,-4.80641,0.20944,0.98046,0.22415,2
128.82813000000002,-9.568660000000001,24.946679999999997,17.17689,0.33809,1.1354799999999998,0.34084000000000003,1
81.33594000000002,-31.29572000000001,-31.80815,-11.3874,0.1841,0.69181,-0.01215,1
77.01563,-15.06918,-17.75123,-21.15386,0.38925,1.13208,0.18202000000000002,0
117.84375,20.78734,14.26341,-28.679990000000004,0.29813,0.90028,0.48465,0
98.69531,-5.44327,9.0975,21.55254,0.16266,0.8259299999999999,0.2348,2
53.00781,-12.14703,16.8288,33.979409999999994,0.02231,1.19234,0.49773,2
37.88281,1.46676,-22.60086,27.818479999999997,0.20845999999999998,0.95034,0.53065,0
132.38281,11.33332,38.40618,36.74482,0.13196,0.8628600000000001,0.25659,2
20.9375,2.1887,-66.31789,19.41722,-0.0308,0.80406,0.5088600000000001,1
56.85156,-2.72739,-26.85308,-29.905179999999998,0.21625999999999998,0.90271,0.35101,0
32.36719,6.52036,1.2959,-28.92503,-0.01083,0.72923,0.53114,2
113.16406,4.66394,16.1611,27.08337,0.11198,0.8444,0.27547,2
76.0,13.43039,-6.29483,-13.3827,0.0306,0.8769600000000001,0.3452,2
54.75781,-4.99635,19.88618,42.83574,0.03888,1.31674,0.40524,1
28.17188,10.577,31.72914,32.54419,0.21967,0.94888,0.31034,2
62.29688,10.37073,0.34706,13.01126,0.27376,0.90952,0.38539,2
106.84375,7.20793,45.43464,40.665409999999994,0.13878,0.6335,0.23189,1
141.65625,-20.81035,19.921329999999998,5.10008,0.0842,0.89397,0.22366,1
129.94531,-14.79415,18.6562,27.678459999999998,0.24404,0.92215,0.2992,1
30.375,22.54063,-11.35533,22.07762,0.11734000000000001,0.63884,0.5151600000000001,0
148.71875,-5.7526699999999975,7.059239999999999,4.75002,0.25622,0.91243,0.42655,2
132.09375,6.589119999999999,25.50895,-4.45636,0.21675,1.24385,0.47061000000000003,1
89.99219000000002,4.90459,-26.501659999999998,-29.34509000000001,0.17143,0.7962899999999999,0.2377,1
30.27344,9.95819,-17.118660000000002,-3.75625,0.18897,0.93819,0.36505,2
14.75781,13.22412,12.08459,-4.21132,0.24111,1.05141,0.41057,2
28.71875,-26.5859,-11.2499,-28.785009999999996,0.12122999999999999,0.96054,0.41347,1
117.78906,-13.487779999999999,3.40444,-30.32524,0.41557,0.94839,0.34568000000000004,0
157.65625,-4.03376,-5.97855,2.78973,0.20407999999999998,0.9294399999999999,0.31324,1
159.89844,-0.32091,-0.67207,-0.81581,0.20505,0.91632,0.33939,1
19.92969,-17.54441,-32.37042,-32.845620000000004,0.07347999999999999,0.94305,0.31615,1
82.9375,-11.32195,36.61392,25.96321,0.12611,0.54651,0.07404,1
159.96094,-0.08026,-0.0395,-0.50076,0.20359000000000002,0.91632,0.336,1
53.48438,-23.52623,-16.380679999999998,-2.00599,0.20651,0.80795,0.12246,2
82.14063,19.51535,7.09438,-33.23067,0.09053,0.8094100000000001,0.50935,0
11.32813,-5.85581,-17.22409,-10.40725,0.22259,0.95714,0.22996,2
